Zuerich_Kloten_2005,No Facade,Static,ASF,"(Updated to ZH 2013, COPH = 1, COPC = 3)",
C,1572.603704,411.1018583,392.3427026,,
E,2214.070924,1510.6506,840.3126354,0.620467156,0.443741236
E_HCL,2214.070924,2211.852769,1547.531783,,
H,242.8120396,1349.344388,746.0641683,,
L,398.65518,451.406522,409.124912,,
PV,0,701.2021682,707.2191476,,
,,,,,
,,,,1373.758289,670.3379646
