Zuerich_Kloten_2005,No Facade,Static,ASF,"(Updated to ZH 2013, COP = 1)",
C,4717.811112,1233.305575,1157.351164,,
E,5359.278331,2332.854317,1608.73525,0.699822411,0.310400466
E_HCL,5359.278331,3034.056485,2312.561522,0.568493857,0.237798791
H,242.8120396,1349.344388,746.0854463,,
L,398.65518,451.406522,409.124912,,
PV,0,701.2021682,703.8262722,,
,,,,,
,,,,,
,,,,3750.543081,724.119067
