Zuerich_Kloten_2005,No Facade,Static,ASF,"(Updated to ZH 2013, cop h and c = 6)",
C,786.301852,205.5509292,198.0537151,,
E,1225.425705,180.6460143,36.11693489,0.97052703,0.800067912
E_HCL,1225.425705,881.8481826,868.3405785,,
H,40.46867326,224.8907314,261.1619514,,
L,398.65518,451.406522,409.124912,,
PV,0,701.2021682,832.2236436,,
,,,,,
,,,,,
,,,0.958406948,,
,,,,,
,,,,-1189.30877,-144.5290794
