Zuerich_Kloten_2005,No Facade,Static,ASF,"(Updated to ZH 2013, cop h and c = 3)",
C,1572.603704,411.1018583,391.9544332,,
E,2052.19623,611.0876749,490.420807,0.761026358,0.197462447
E_HCL,2052.19623,1312.289843,1321.416159,,
H,80.93734652,449.7814628,520.3368143,,
L,398.65518,451.406522,409.124912,,
PV,0,701.2021682,830.9953524,,
,,,,,
,,,,1561.775423,120.6668679
