Zuerich_Kloten_2005	Case Study	Efficient HVAC	Older Building
C	4353.90333	898.9175203	836.1826974
E	4996.533056	1736.153563	1189.395232
E_HCL	4996.533056	2398.488116	1896.584093
H	348.269184	1100.512734	724.5646076
L	294.360542	399.057862	335.836788
PV	0	662.334553	707.1888613
